,time,ra,dec,maglim,comment,skynoise,band,zp
1639,60565.061629540076,266.77604070602433,-60.65150377307873,23.800408962955043,206163,60.37628826028625,lsstr,30
1640,60565.06208032102,264.0853421244379,-58.23227363331786,23.77172739378089,206164,61.9924839348472,lsstr,30
1641,60565.06253886481,269.9957001173572,-57.97234566974071,23.8098538091662,206165,59.85335124788111,lsstr,30
1642,60565.062997914545,275.65864104559427,-57.393845340997096,23.85927476357654,206166,57.18999916863315,lsstr,30
1643,60565.06345421356,279.07684376487515,-59.55355258440532,23.929571660086797,206167,53.6045101429586,lsstr,30
1644,60565.08225337914,278.0073499410079,-67.50625351951102,23.716863514634273,206205,65.2055541038214,lssti,30
1645,60565.082721696286,269.8620457315398,-68.06281433656565,23.653680759384166,206206,69.11267329505421,lssti,30
1646,60565.083170824466,273.60801672639553,-65.31226995456217,23.69710190646632,206207,66.40323430431096,lssti,30
1647,60565.083636395815,266.1044969576987,-65.6755828224721,23.649889720370318,206208,69.35441415025217,lssti,30
1648,60565.9948903513,276.49123978459204,-60.3782108707857,22.97227575165552,206935,129.45525812406058,lsstz,30
1649,60567.01097154291,265.91117614129985,-50.68028179815766,22.82291479562761,207873,148.5470656839429,lsstz,30
1650,60567.01141906979,265.26152523898855,-53.66237819852948,22.80847521434787,207874,150.53583986884152,lsstz,30
1651,60567.011866465764,264.68147473659354,-56.56083228155819,22.647645317604805,207875,174.57090711424533,lsstz,30
1652,60567.012329939476,260.6176837189816,-54.313407294440694,22.64825848747804,207876,174.472345971759,lsstz,30
1653,60567.03511463119,265.91117614129985,-50.68028179815766,21.960070626225637,207923,328.85295233965155,lssty,30
1654,60567.03556126555,265.26152523898855,-53.66237819852948,22.073253771959536,207924,296.29784094072465,lssty,30
1655,60567.03600688443,264.68147473659354,-56.56083228155819,22.047923017620978,207925,303.29188381823747,lssty,30
1656,60567.03647035814,260.6176837189816,-54.313407294440694,22.02742500173486,207926,309.072236630219,lssty,30
1657,60567.981349568145,278.8356363569665,-53.07910510328855,22.80802046742822,208703,150.59890311301064,lsstz,30
1658,60567.9818183365,274.00344781760936,-54.39832981065915,22.840072552935155,208704,146.21804553607473,lsstz,30
1659,60567.98226718617,273.6904838699945,-57.171423598617835,22.85699355056183,208705,143.95692968405496,lsstz,30
1660,60567.98273245497,278.89915543263675,-58.6342298069783,22.868007062306003,208706,142.5040380122231,lsstz,30
1661,60567.98318137782,278.96039705708495,-61.4292431211986,22.85592398062596,208707,144.09881301445267,lsstz,30
1662,60567.98364795967,272.89046405351473,-62.749976916285966,22.85724013078527,208708,143.92423951382315,lsstz,30
1663,60567.98411266616,267.35277165785476,-61.01603655020814,22.890724344089335,208709,139.5533473559015,lsstz,30
1664,60567.98457650101,262.4428300905538,-59.032595598019114,22.91587732467883,208710,136.35751117323588,lsstz,30
1665,60567.98504157991,268.1910454780889,-58.25312105130533,22.943444559747043,208711,132.93892781629825,lsstz,30
1666,60567.98549027899,268.892910485611,-55.49614684752963,22.84037565266764,208712,146.17723224758342,lsstz,30
1667,60567.98595670263,264.5544413740776,-53.556352730272856,22.86547797576666,208713,142.83637023812145,lsstz,30
1668,60567.98642257724,269.4904577084417,-52.746579119222,22.880199806681016,208714,140.91267942234003,lsstz,30
1669,60567.98689127021,265.39531515644126,-50.80826823168517,22.889644577498565,208715,139.69220244294823,lsstz,30
1670,60567.9873584558,270.0072261498181,-50.00379426647353,22.892585646205397,208716,139.31431284796003,lsstz,30
1671,60567.992806053786,278.8356363569665,-53.07910510328855,23.12769378480063,208724,112.18956955611092,lssti,30
1672,60567.99327482214,274.00344781760936,-54.39832981065915,23.253705034092,208725,99.89597316087227,lssti,30
1673,60567.99372348489,273.6904838699945,-57.171423598617835,23.231151113911125,208726,101.99280833724139,lssti,30
1674,60567.99418875369,278.89915543263675,-58.6342298069783,23.199199734053387,208727,105.03888476376241,lssti,30
1675,60567.99463763286,278.96039705708495,-61.4292431211986,23.246179741905916,208728,100.59076219736949,lssti,30
1676,60567.99510421471,272.89046405351473,-62.749976916285966,23.24389412438158,208729,100.80274202752321,lssti,30
1677,60567.9955689212,267.35277165785476,-61.01603655020814,23.397787112949363,208730,87.48128435192282,lssti,30
1678,60567.99603275605,262.4428300905538,-59.032595598019114,23.41113360041366,208731,86.41249713639858,lssti,30
1679,60567.996497834945,268.1910454780889,-58.25312105130533,23.35763433246126,208732,90.77709126055477,lssti,30
1680,60567.99694619333,268.892910485611,-55.49614684752963,23.375663759925814,208733,89.28211952190534,lssti,30
1681,60567.99741261697,264.5544413740776,-53.556352730272856,23.352620143377344,208734,91.1972910916937,lssti,30
1682,60567.99787849158,269.4904577084417,-52.746579119222,23.35792827049457,208735,90.75251878337113,lssti,30
1683,60567.99834718455,265.39531515644126,-50.80826823168517,23.365794488098267,208736,90.09738796472412,lssti,30
1684,60567.99881437014,270.0072261498181,-50.00379426647353,23.253630204641826,208737,99.90285827561301,lssti,30
1685,60569.14912955697,275.59939699130086,-60.386534687219864,22.672969287438814,209921,170.5462916970357,lsstz,30
1686,60569.149596492796,266.4543704246501,-58.48842247768707,22.49337162626139,209922,201.2247262119957,lsstz,30
1687,60569.1500452797,271.70773817958826,-58.00563886846097,22.55608086260282,209923,189.93178535633464,lsstz,30
1688,60569.1504940829,276.810106800278,-57.31917055225108,22.56426570701899,209924,188.5053640456863,lsstz,30
